Name,Sequence Name,Length,Direction,Document Name,Type,Source
Putative Replication Associated Protein,Cruci_CruV_87,1074,forward,Cruci_CruV_87,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_88,960,reverse,Cruci_CruV_88,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_89,819,forward,Cruci_CruV_89,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_90,1080,forward,Cruci_CruV_90,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_91,1080,forward,Cruci_CruV_91,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_92,1329,forward,Cruci_CruV_92,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_93,1110,forward,Cruci_CruV_93,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_94,1065,forward,Cruci_CruV_94,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_95,972,reverse,Cruci_CruV_95,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_96,927,forward,Cruci_CruV_96,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_97,1041,reverse,Cruci_CruV_97,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_98,1056,forward,Cruci_CruV_98,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_99,873,reverse,Cruci_CruV_99,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_100,1203,forward,Cruci_CruV_100,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_101,1101,reverse,Cruci_CruV_101,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_102,984,reverse,Cruci_CruV_102,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_104,966,reverse,Cruci_CruV_104,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_105,966,reverse,Cruci_CruV_105,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_106,873,forward,Cruci_CruV_106,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_107,936,reverse,Cruci_CruV_107,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_108,1026,forward,Cruci_CruV_108,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_109,1050,reverse,Cruci_CruV_109,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_111,1005,forward,Cruci_CruV_111,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_112,1041,reverse,Cruci_CruV_112,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_113,990,reverse,Cruci_CruV_113,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_115,1065,forward,Cruci_CruV_115,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_116,951,forward,Cruci_CruV_116,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_117,885,forward,Cruci_CruV_117,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_119,888,forward,Cruci_CruV_119,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_120,1056,reverse,Cruci_CruV_120,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_121,1218,reverse,Cruci_CruV_121,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_122,1272,forward,Cruci_CruV_122,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_123,1080,forward,Cruci_CruV_123,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_124,1221,forward,Cruci_CruV_124,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_125,951,forward,Cruci_CruV_125,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_126,963,forward,Cruci_CruV_126,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_127,1095,forward,Cruci_CruV_127,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_128,1086,forward,Cruci_CruV_128,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_129,984,forward,Cruci_CruV_129,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_130,1146,reverse,Cruci_CruV_130,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_131,1206,forward,Cruci_CruV_131,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_132,1080,forward,Cruci_CruV_132,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_133,1332,reverse,Cruci_CruV_133,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_134,1023,forward,Cruci_CruV_134,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_135,1251,forward,Cruci_CruV_135,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_136,1281,forward,Cruci_CruV_136,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_137,852,reverse,Cruci_CruV_137,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_138,1239,reverse,Cruci_CruV_138,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_139,1458,forward,Cruci_CruV_139,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_140,1227,reverse,Cruci_CruV_140,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_141,1218,reverse,Cruci_CruV_141,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_142,1083,forward,Cruci_CruV_142,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_143,1032,forward,Cruci_CruV_143,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_144,1089,forward,Cruci_CruV_144,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_145,1428,forward,Cruci_CruV_145,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_146,960,forward,Cruci_CruV_146,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_147,960,forward,Cruci_CruV_147,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_148,960,forward,Cruci_CruV_148,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_149,1368,forward,Cruci_CruV_149,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_150,687,forward,Cruci_CruV_150,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_151,1350,forward,Cruci_CruV_151,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_152,969,forward,Cruci_CruV_152,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_153,1137,forward,Cruci_CruV_153,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_154,987,reverse,Cruci_CruV_154,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_156,1308,forward,Cruci_CruV_156,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_157,906,forward,Cruci_CruV_157,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_158,1047,forward,Cruci_CruV_158,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_159,933,forward,Cruci_CruV_159,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_160,1074,reverse,Cruci_CruV_160,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_161,870,forward,Cruci_CruV_161,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_162,1059,forward,Cruci_CruV_162,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_163,954,reverse,Cruci_CruV_163,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_164,1059,reverse,Cruci_CruV_164,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_165,924,reverse,Cruci_CruV_165,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_166,972,reverse,Cruci_CruV_166,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_167,1371,forward,Cruci_CruV_167,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_168,1101,forward,Cruci_CruV_168,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_169,996,reverse,Cruci_CruV_169,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_171,1125,reverse,Cruci_CruV_171,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_172,972,forward,Cruci_CruV_172,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_173,870,reverse,Cruci_CruV_173,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_175,564,reverse,Cruci_CruV_175,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_176,1302,forward,Cruci_CruV_176,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_177,957,reverse,Cruci_CruV_177,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_178,984,reverse,Cruci_CruV_178,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_179,888,reverse,Cruci_CruV_179,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_180,888,reverse,Cruci_CruV_180,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_181,1041,forward,Cruci_CruV_181,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_182,987,forward,Cruci_CruV_182,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_183,1065,forward,Cruci_CruV_183,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_184,1179,forward,Cruci_CruV_184,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_185,1107,forward,Cruci_CruV_185,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_186,1035,reverse,Cruci_CruV_186,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_187,954,forward,Cruci_CruV_187,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_188,975,forward,Cruci_CruV_188,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_189,1047,forward,Cruci_CruV_189,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_190,1131,forward,Cruci_CruV_190,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_191,999,forward,Cruci_CruV_191,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_192,1119,forward,Cruci_CruV_192,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_193,1269,forward,Cruci_CruV_193,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_194,1050,forward,Cruci_CruV_194,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_195,1140,forward,Cruci_CruV_195,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_196,1098,reverse,Cruci_CruV_196,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_197,1269,forward,Cruci_CruV_197,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_198,1017,forward,Cruci_CruV_198,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_199,1491,forward,Cruci_CruV_199,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_200,1557,forward,Cruci_CruV_200,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_201,1356,forward,Cruci_CruV_201,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_202,1347,forward,Cruci_CruV_202,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_203,885,forward,Cruci_CruV_203,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_204,828,forward,Cruci_CruV_204,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_205,828,forward,Cruci_CruV_205,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_206,1041,reverse,Cruci_CruV_206,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_207,1200,reverse,Cruci_CruV_207,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_208,933,forward,Cruci_CruV_208,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_209,1284,forward,Cruci_CruV_209,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_210,1452,forward,Cruci_CruV_210,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_211,897,forward,Cruci_CruV_211,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_212,1050,reverse,Cruci_CruV_212,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_213,873,forward,Cruci_CruV_213,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_214,1098,forward,Cruci_CruV_214,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_215,1149,forward,Cruci_CruV_215,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_216,957,forward,Cruci_CruV_216,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_217,1158,forward,Cruci_CruV_217,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_218,1101,reverse,Cruci_CruV_218,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_219,1071,reverse,Cruci_CruV_219,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_220,1101,reverse,Cruci_CruV_220,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_221,1026,forward,Cruci_CruV_221,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_222,900,forward,Cruci_CruV_222,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_223,1134,forward,Cruci_CruV_223,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_224,1554,reverse,Cruci_CruV_224,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_225,996,forward,Cruci_CruV_225,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_226,876,reverse,Cruci_CruV_226,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_227,855,forward,Cruci_CruV_227,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_228,1215,reverse,Cruci_CruV_228,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_229,1467,forward,Cruci_CruV_229,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_230,1530,forward,Cruci_CruV_230,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_231,1371,forward,Cruci_CruV_231,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_232,873,reverse,Cruci_CruV_232,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_233,1176,forward,Cruci_CruV_233,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_234,897,forward,Cruci_CruV_234,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_235,1266,forward,Cruci_CruV_235,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_236,873,forward,Cruci_CruV_236,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_237,1194,forward,Cruci_CruV_237,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_238,1137,forward,Cruci_CruV_238,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_239,1137,forward,Cruci_CruV_239,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_240,1056,forward,Cruci_CruV_240,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_241,915,reverse,Cruci_CruV_241,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_242,1188,forward,Cruci_CruV_242,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_243,1011,reverse,Cruci_CruV_243,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_244,945,forward,Cruci_CruV_244,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_245,1011,reverse,Cruci_CruV_245,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_246,1383,forward,Cruci_CruV_246,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_247,1023,reverse,Cruci_CruV_247,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_248,888,forward,Cruci_CruV_248,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_249,1281,forward,Cruci_CruV_249,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_250,1089,reverse,Cruci_CruV_250,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_251,1089,reverse,Cruci_CruV_251,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_252,1329,forward,Cruci_CruV_252,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_253,921,forward,Cruci_CruV_253,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_254,1281,forward,Cruci_CruV_254,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_255,1188,reverse,Cruci_CruV_255,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_256,1224,forward,Cruci_CruV_256,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_257,1206,forward,Cruci_CruV_257,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_258,1314,forward,Cruci_CruV_258,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_259,1173,forward,Cruci_CruV_259,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_260,1122,reverse,Cruci_CruV_260,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_261,1299,reverse,Cruci_CruV_261,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_262,1413,forward,Cruci_CruV_262,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_263,1104,reverse,Cruci_CruV_263,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_264,1014,reverse,Cruci_CruV_264,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_265,1059,reverse,Cruci_CruV_265,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_266,1158,reverse,Cruci_CruV_266,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_267,1185,forward,Cruci_CruV_267,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_268,1344,forward,Cruci_CruV_268,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_269,1146,forward,Cruci_CruV_269,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_270,1419,forward,Cruci_CruV_270,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_271,933,forward,Cruci_CruV_271,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_272,873,forward,Cruci_CruV_272,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_273,1089,reverse,Cruci_CruV_273,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_274,1062,forward,Cruci_CruV_274,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_275,1458,forward,Cruci_CruV_275,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_276,1011,reverse,Cruci_CruV_276,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_277,873,forward,Cruci_CruV_277,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_278,1014,reverse,Cruci_CruV_278,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_280,1095,reverse,Cruci_CruV_280,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_281,1026,forward,Cruci_CruV_281,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_282,873,forward,Cruci_CruV_282,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_283,798,forward,Cruci_CruV_283,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_284,1077,forward,Cruci_CruV_284,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_285,1875,forward,Cruci_CruV_285,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_286,1095,forward,Cruci_CruV_286,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_287,1074,forward,Cruci_CruV_287,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_288,1128,forward,Cruci_CruV_288,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_289,858,forward,Cruci_CruV_289,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_290,1191,reverse,Cruci_CruV_290,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_291,873,forward,Cruci_CruV_291,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_292,909,forward,Cruci_CruV_292,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_293,1083,forward,Cruci_CruV_293,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_294,1437,reverse,Cruci_CruV_294,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_295,1275,forward,Cruci_CruV_295,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_297,1077,reverse,Cruci_CruV_297,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_298,828,forward,Cruci_CruV_298,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_299,1518,forward,Cruci_CruV_299,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_300,1173,forward,Cruci_CruV_300,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_301,903,forward,Cruci_CruV_301,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_302,1377,forward,Cruci_CruV_302,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_303,1059,forward,Cruci_CruV_303,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_304,1083,forward,Cruci_CruV_304,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_305,891,forward,Cruci_CruV_305,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_306,1059,reverse,Cruci_CruV_306,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_307,1305,reverse,Cruci_CruV_307,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_308,1056,reverse,Cruci_CruV_308,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_309,891,forward,Cruci_CruV_309,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_310,891,forward,Cruci_CruV_310,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_311,891,forward,Cruci_CruV_311,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_312,906,forward,Cruci_CruV_312,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_313,1305,forward,Cruci_CruV_313,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_314,1656,forward,Cruci_CruV_314,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_315,1479,forward,Cruci_CruV_315,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_316,1488,forward,Cruci_CruV_316,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_317,732,forward,Cruci_CruV_317,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_318,1461,forward,Cruci_CruV_318,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_319,834,forward,Cruci_CruV_319,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_320,834,forward,Cruci_CruV_320,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_321,1218,reverse,Cruci_CruV_321,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_322,1152,reverse,Cruci_CruV_322,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_323,1152,reverse,Cruci_CruV_323,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_324,1152,reverse,Cruci_CruV_324,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_325,927,forward,Cruci_CruV_325,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_326,1266,forward,Cruci_CruV_326,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_327,1308,forward,Cruci_CruV_327,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_328,1062,reverse,Cruci_CruV_328,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_329,987,forward,Cruci_CruV_329,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_330,1359,forward,Cruci_CruV_330,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_331,924,forward,Cruci_CruV_331,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_332,1197,forward,Cruci_CruV_332,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_333,1203,reverse,Cruci_CruV_333,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_334,1416,reverse,Cruci_CruV_334,CDS,Geneious
Putative Replication Associated Protein,Cruci_CruV_335,1317,forward,Cruci_CruV_335,CDS,Geneious
